,Avg VIX Term Structure,Avg Variance Risk Premium,Avg SPY Bid-Ask Spread
Regime 0 (Calm),0.8832185162840951,0.011471224477129758,6.477999877640118e-05
Regime 1 (Stress),1.0155902568901436,-0.07976666376388357,0.00031872775254322293
